Date,Country,local_price,dollar_valuation
2014-01-31,ISR,17.5,8.4933681982111
2013-01-31,IRL,3.49,8.4343091563909
2014-01-31,CAN,5.54,8.4113386453693
2000-04-30,SWE,24.0,8.1646265616268
2012-07-31,AUS,4.56,8.1491854419411
2014-07-31,ITA,3.85,8.1010948905109
2012-01-31,COL,8400.0,8.0541363464085
2007-06-30,CAN,3.88,8.0098639729897
2000-04-30,KOR,3000.0,7.8717620492758
2013-07-31,DNK,28.5,7.8262947901285
2010-01-31,HUN,720.0,7.7505793898307
2014-01-31,DEU,3.67,7.655537934763
2021-01-31,NOR,52.0,7.5
2012-07-31,DNK,28.5,7.337319276438
2014-07-31,DNK,28.5,7.3100914485304
2007-06-30,TUR,4.75,7.3077480034546
2014-01-31,EUR,3.6579627235827,7.3024372622895
2013-01-31,NLD,3.45,7.1915090514466
2010-07-31,CAN,4.17,7.158275599778
2014-01-31,ESP,3.65,7.0688592539196
2015-07-31,SWE,43.7,7.0462036768117
2010-01-31,TUR,5.65,7.0300966737509
2014-07-31,ISR,17.5,6.9082850927515
2012-01-31,DEU,3.53,6.6976355778349
2012-07-31,BEL,3.8,6.4570768341999
2014-01-31,URY,105.0,6.2057718285313
2016-01-31,SWE,45.0,6.1142550341281
2015-07-31,DNK,34.59,6.0232176133898
2013-07-31,ITA,3.75,5.8133686905633
2018-07-31,SWE,51.0,5.8
2012-01-31,ITA,3.5,5.7908568052187
2012-01-31,ESP,3.5,5.7908568052187
2016-01-31,NOR,46.8,5.7746052327307
2007-06-30,BRA,6.9,5.7741981472653
2018-01-31,FIN,4.56,5.7306818181818
2009-07-31,ISR,15.0,5.7226060833845
2012-01-31,EUR,3.4924563702446,5.5628433608631
2007-06-30,NZL,4.6,5.413269284842
2013-07-31,ISR,17.5,5.3367901590719
2013-01-31,AUT,3.39,5.3273088940301
2020-01-31,NOR,53.0,5.322
2012-07-31,FIN,3.75,5.0563258232236
2019-01-31,NOR,50.0,5.0
2012-07-31,URY,99.0,4.604251211864
2019-01-31,SWE,52.0,4.6
2013-07-31,BEL,3.7,4.4025237746891
2012-07-31,TUR,8.25,4.3523169487231
2010-07-31,TUR,5.95,4.2143464330086
2008-06-30,NZL,4.9,4.1624815669609
2017-01-31,SWE,48.0,3.9631105961953
2014-07-31,BEL,3.7,3.8893639207508
2010-01-31,CZE,67.64,3.755095392947
2016-07-31,SWE,44.94,3.7442964876254
2015-01-31,SWE,40.7,3.7285032075109
2005-06-30,NZL,4.45,3.7045115890374
2017-01-31,VEN,3550.0,3.6914209534732
2007-06-30,COL,6900.0,3.4488962452548
2010-07-31,ISR,14.9,3.3447636803498
2014-07-31,EUR,3.6792382895899,3.3064123292894
2014-07-31,NZL,5.7,3.1230448383733
2014-07-31,DEU,3.67,3.0470177267987
2010-07-31,AUS,4.35,2.7745758928571
2014-07-31,GBR,2.89,2.7140354535975
2013-07-31,DEU,3.64,2.7095098756401
2010-07-31,CRI,2000.0,2.6046533262376
2014-07-31,URY,113.0,2.5956238880745
2010-01-31,GBR,2.29,2.551061452514
2013-01-31,GRC,3.3,2.5310086579054
2014-07-31,ESP,3.65,2.4854535974974
2011-07-31,PRT,2.9,2.2776137761378
2013-07-31,EUR,3.6238704886156,2.2543850929962
2009-07-31,TUR,5.65,2.1020646573523
2008-06-30,ARG,11.0,2.0444607715582
2012-07-31,DEU,3.64,1.9746735990757
2009-07-31,CZE,67.92,1.9487131778101
2014-01-31,IRL,3.46,1.4954117859074
2013-07-31,AUS,5.035,1.3869257498171
2006-05-31,CAN,3.52,1.3417708034934
2009-07-31,HUN,720.0,1.2668213525802
2014-01-31,NLD,3.45,1.2020724454857
2017-01-31,BRA,16.5,1.1451655645215
2007-06-30,VEN,7400.0,1.0612386038089
2010-01-31,NZL,4.9,0.87445803138761
2012-07-31,ITA,3.6,0.85407279029464
2012-07-31,FRA,3.6,0.85407279029464
2020-07-31,SWE,52.6,0.804
2002-04-30,ISR,12.0,0.61121311970218
2013-01-31,CRI,2200.0,0.57957355318996
2016-07-31,FIN,4.6,0.48353174603175
2011-07-31,JPN,320.0,0.45401289845219
2002-04-30,SWE,26.0,0.40160642570279
2014-07-31,AUS,5.1,0.3992700729927
2012-07-31,EUR,3.5834822412817,0.391327445821
2010-07-31,URY,79.0,0.28774542992551
2007-01-31,TUR,4.55,0.23362144074264
2011-07-31,CZE,69.32,0.18206268927257
2014-01-31,GBR,2.79,0.056871508379897
2007-01-31,NZL,4.6,0.042818326243621
2011-07-31,CRI,2050.0,8.5365860824638e-06
2003-04-30,IND,0.0,0.0
2001-04-30,IND,0.0,0.0
2002-04-30,IND,0.0,0.0
2012-07-31,PER,0.0,0.0
2000-04-30,IND,0.0,0.0
2000-04-30,SAU,0.0,0.0
2001-04-30,SAU,0.0,0.0
2002-04-30,SAU,0.0,0.0
2003-04-30,SAU,0.0,0.0
2005-06-30,IND,0.0,0.0
2002-04-30,EGY,0.0,0.0
2001-04-30,EGY,0.0,0.0
2000-04-30,EGY,0.0,0.0
2006-01-31,SAU,0.0,0.0
2004-05-31,IND,0.0,0.0
2003-04-30,ISR,0.0,0.0
2006-01-31,IND,0.0,0.0
2014-01-31,USA,4.6241666666667,0.0
2003-04-30,UKR,0.0,0.0
2006-01-31,UKR,0.0,0.0
2000-04-30,USA,2.51,0.0
2001-04-30,USA,2.54,0.0
2002-04-30,USA,2.49,0.0
2003-04-30,USA,2.71,0.0
2004-05-31,USA,2.9,0.0
2005-06-30,USA,3.06,0.0
2006-01-31,USA,3.15,0.0
2006-05-31,USA,3.1,0.0
2007-01-31,USA,3.22,0.0
2000-04-30,PHL,0.0,0.0
2007-06-30,USA,3.41,0.0
2008-06-30,USA,3.57,0.0
2009-07-31,USA,3.57,0.0
2010-01-31,USA,3.58,0.0
2010-07-31,USA,3.7333333333333,0.0
2011-07-31,USA,4.065,0.0
2012-01-31,USA,4.19722,0.0
2012-07-31,USA,4.3275,0.0
2013-01-31,USA,4.3673958333333,0.0
2002-04-30,UKR,0.0,0.0
2001-04-30,UKR,0.0,0.0
2000-04-30,UKR,0.0,0.0
2002-04-30,PAK,0.0,0.0
2000-04-30,PER,0.0,0.0
2000-04-30,UAE,0.0,0.0
2001-04-30,UAE,0.0,0.0
2002-04-30,UAE,0.0,0.0
2003-04-30,UAE,0.0,0.0
2004-05-31,UAE,0.0,0.0
2006-01-31,UAE,0.0,0.0
2006-01-31,PAK,0.0,0.0
2003-04-30,PAK,0.0,0.0
2001-04-30,PAK,0.0,0.0
2000-04-30,NOR,0.0,0.0
2000-04-30,PAK,0.0,0.0
2000-04-30,LKA,0.0,0.0
2001-04-30,LKA,0.0,0.0
2002-04-30,LKA,0.0,0.0
2003-04-30,LKA,0.0,0.0
2006-01-31,NOR,0.0,0.0
2006-01-31,LKA,0.0,0.0
2003-04-30,NOR,0.0,0.0
2001-04-30,NOR,0.0,0.0
2013-07-31,USA,4.5566666666667,0.0
2014-07-31,USA,4.795,0.0
2006-05-31,IND,0.0,0.0
2015-01-31,USA,4.79,0.0
2001-04-30,PER,0.0,0.0
2001-04-30,ISR,0.0,0.0
2022-01-31,USA,5.81,0.0
2000-04-30,URY,0.0,0.0
2001-04-30,URY,0.0,0.0
2002-04-30,URY,0.0,0.0
2003-04-30,URY,0.0,0.0
2006-01-31,URY,0.0,0.0
2000-04-30,VEN,0.0,0.0
2001-04-30,VEN,0.0,0.0
2008-06-30,VEN,0.0,0.0
2010-01-31,VEN,0.0,0.0
2010-07-31,VEN,0.0,0.0
2001-04-30,TUR,0.0,0.0
2000-04-30,TUR,0.0,0.0
2010-07-31,IND,0.0,0.0
2010-01-31,IND,0.0,0.0
2009-07-31,IND,0.0,0.0
2008-06-30,IND,0.0,0.0
2007-06-30,IND,0.0,0.0
2007-01-31,IND,0.0,0.0
2004-05-31,ISR,0.0,0.0
2005-06-30,ISR,0.0,0.0
2006-01-31,ISR,0.0,0.0
2003-04-30,LTU,0.0,0.0
2015-07-31,USA,4.79,0.0
2016-01-31,USA,4.93,0.0
2016-07-31,USA,5.04,0.0
2017-01-31,USA,5.06,0.0
2017-07-31,USA,5.3,0.0
2018-01-31,USA,5.28,0.0
